State,Total expenditures,student_teacher_ratio,per-pupil_spending,Median_Income,Poverty Rate,Urbanization,Teacher_Salary,Graduation_Rate,Year
Alabama,4935621221,15.4,5638,"44,667",16.1,55.4,1880267638,64.1,2000
Alaska,1375232700,16.9,8806,"67,483",9.4,65.6,450803336,66.7,2000
Arizona,5588398292,19.8,4999,"53,072",13.9,88.2,1787356212,63.6,2000
Arkansas,2628202265,14.1,5277,"42,111",15.8,52.5,1084819850,74.6,2000
California,44459535249,20.6,6314,"62,147",14.2,94.4,17023740804,71.7,2000
Colorado,5226757411,17.3,6215,"61,767",9.3,84.5,1875740266,74.1,2000
Connecticut,6162300008,13.7,9753,"70,576",7.9,87.7,2421649869,81.9,2000
Delaware,1031640019,15.4,8310,"62,000",9.2,80.1,400239541,66.8,2000
District of Columbia,869568968,13.9,10107,"52,508",20.2,100.0,258677984,54.5,2000
Florida,17141047876,18.4,5831,"50,796",12.5,89.3,5515153038,61.0,2000
Georgia,10728955049,15.9,6437,"55,525",13.0,71.6,4190657288,59.7,2000
Hawaii,1366215048,16.9,6530,"65,192",10.7,91.5,554482709,70.9,2000
Idaho,1461730480,17.9,5315,"49,165",11.8,66.4,573954777,79.4,2000
Illinois,17058565874,16.1,7133,"60,965",10.7,87.8,6451475054,76.3,2000
Indiana,8018238165,16.7,7192,"54,392",9.5,70.8,3008727668,71.8,2000
Iowa,3643529582,14.3,6564,"51,647",9.1,61.1,1428356886,83.1,2000
Kansas,3187467373,14.4,6294,"53,158",9.9,71.4,1345681708,77.1,2000
Kentucky,4061843667,16.8,5921,"44,061",15.8,55.8,1772479791,69.7,2000
Louisiana,4824667386,16.6,5804,"42,614",19.6,72.6,1946911970,62.2,2000
Maine,1764050175,12.5,7667,"48,730",10.9,40.2,704649187,75.9,2000
Maryland,7272493414,16.3,7731,"69,180",8.5,86.1,2737878764,77.6,2000
Massachusetts,8817676819,14.5,8761,"66,084",9.3,91.4,4170465609,78.0,2000
Michigan,16327967226,17.7,8110,"58,449",10.5,74.7,5612977901,75.3,2000
Minnesota,7335140162,16.0,7190,"61,647",7.9,70.9,2870652650,84.9,2000
Mississippi,2873758186,16.1,5014,"40,997",19.9,48.8,1124768416,59.4,2000
Missouri,6546961640,14.1,6187,"49,638",11.7,69.4,2616916000,76.3,2000
Montana,1062342886,14.9,6314,"43,213",14.6,54.1,441926722,80.8,2000
Nebraska,2158107968,13.6,6683,"51,360",9.7,69.8,879751208,85.7,2000
Nevada,2316685271,18.6,5760,"58,336",10.5,91.5,824343738,69.7,2000
New Hampshire,1552290145,14.5,6860,"64,730",6.5,59.3,648398574,76.1,2000
New Jersey,14724722639,13.3,10337,"72,161",8.5,94.4,5586128518,83.6,2000
New Mexico,2182559706,15.2,5825,"44,664",18.4,75.0,784600602,64.7,2000
New York,31495688461,13.9,9846,"56,782",14.6,87.5,14559417266,61.8,2000
North Carolina,9150062746,15.5,6045,"51,274",12.3,60.2,3722835824,65.8,2000
North Dakota,724735650,13.4,5667,"45,281",11.9,55.9,276145180,86.0,2000
Ohio,14765518497,15.5,7065,"53,593",10.6,77.4,5456104474,75.2,2000
Oklahoma,3636472559,15.1,5395,"43,705",14.7,65.3,1434025101,75.8,2000
Oregon,4304885561,19.4,7149,"53,540",11.6,78.7,1497878870,69.6,2000
Pennsylvania,16315058482,15.5,7772,"52,480",11.0,77.1,6413720974,78.7,2000
Rhode Island,1432132896,14.8,8904,"55,076",11.9,90.9,632790694,72.8,2000
South Carolina,4860036488,14.9,6130,"48,523",14.1,60.5,1804590392,58.6,2000
South Dakota,884413907,13.7,5632,"46,168",13.2,51.9,319000225,77.6,2000
Tennessee,5702492386,15.9,5383,"47,579",13.5,63.6,2311893009,59.5,2000
Texas,29979516370,14.8,6288,"52,246",15.4,82.5,12037282575,71.0,2000
Utah,2534332452,21.9,4378,"59,834",9.4,88.2,929198647,82.5,2000
Vermont,914704107,12.1,8323,"53,462",9.4,38.2,377965608,81.0,2000
Virginia,8817524410,13.2,6841,"61,079",9.6,73.0,3514269437,76.9,2000
Washington,7479387515,19.7,6376,"59,900",10.6,82.0,2715223952,73.7,2000
West Virginia,2267600525,13.7,7152,"38,858",17.9,46.1,865650210,76.7,2000
Wisconsin,7831839665,14.6,7806,"57,302",8.7,68.3,2937713532,82.7,2000
Wyoming,754973994,13.3,7425,"49,583",11.4,65.1,291223278,76.3,2000
Alabama,7515990795,17.8,8651,40500,18.9,59.0,1792844992,71.8,2010
Alaska,2323620211,17.9,16668,64600,11,66.0,2678484126,75.5,2010
Arizona,9480100276,22.5,8255,46800,17.6,89.8,2084843217,74.7,2010
Arkansas,5153690740,11.5,9481,38300,18.7,56.2,1141046676,75.0,2010
California,66398609467,23.8,9229,57700,15.8,95.0,17138076886,78.2,2010
Colorado,8500010061,17.9,9024,54000,13.2,86.2,2151622195,79.8,2010
Connecticut,9759813344,13.3,15619,64000,10.1,88.0,2283622951,75.1,2010
Delaware,1765561419,15.6,12415,55800,11.9,83.3,377124374,75.5,2010
District of Columbia,1557128428,11.6,20460,60900,18.8,100.0,327223565,59.9,2010
Florida,26827708582,18.9,8597,44400,16.5,91.2,5249057514,70.8,2010
Georgia,17575716986,15.8,9295,46400,18,75.1,4588093314,69.9,2010
Hawaii,2207952276,16.5,12162,63000,11.1,91.9,498757908,75.4,2010
Idaho,2215146460,17.9,7095,43500,15.8,70.6,656958108,84.0,2010
Illinois,27433263005,15.8,12512,53000,13.8,88.5,6374760233,81.9,2010
Indiana,11019863731,18.1,9471,44600,15.3,72.4,2766157778,77.2,2010
Iowa,5638845537,13.7,9996,48000,12.5,64.0,1300772783,87.9,2010
Kansas,5130234459,14.6,10475,48300,13.5,74.2,1472273105,84.5,2010
Kentucky,6936782284,22.4,9803,40100,18.9,58.4,1809554336,79.9,2010
Louisiana,8239000256,14.5,10758,42500,18.8,73.2,1774905085,68.8,2010
Maine,2569363399,12.0,13319,45800,13.1,38.7,608837868,82.8,2010
Maryland,13054970648,16.3,14270,68900,9.9,87.2,3077126503,82.2,2010
Massachusetts,14852073614,13.6,14860,62100,11.4,92.0,3341704516,82.6,2010
Michigan,18952344243,19.7,11113,45400,16.7,74.6,4203574012,75.9,2010
Minnesota,10327887906,17.7,10728,55500,11.5,73.3,2348531818,88.2,2010
Mississippi,4305707350,15.5,7807,36900,22.4,49.4,1092004484,63.8,2010
Missouri,10076354129,14.6,9717,44300,15.3,70.4,2531541315,83.7,2010
Montana,1624458002,13.1,10522,42700,15.2,55.9,474708467,81.9,2010
Nebraska,3601025427,13.2,11239,48400,12.6,73.1,952095701,83.8,2010
Nevada,3998256266,22.5,8482,51000,14.8,94.2,1065611018,57.8,2010
New Hampshire,2716061086,13.2,12947,61000,8.6,60.3,653329508,86.3,2010
New Jersey,25530467182,13.9,17411,67700,10.2,94.7,6076862362,87.2,2010
New Mexico,3792843337,16.0,9179,42100,19.8,77.4,810813944,67.3,2010
New York,55514866992,14.4,19371,54100,15,87.9,15355715000,76.0,2010
North Carolina,13290164943,15.8,8199,43300,17.4,66.1,2980372878,76.9,2010
North Dakota,1146603449,11.9,9859,48700,12.5,59.9,283077204,88.4,2010
